,operador_id,producto
2562,1190,LANA SUCIA
2563,1190,OVEJAS
2564,1190,BORREGAS
2565,1190,CORDEROS
2566,1190,CAPONES
2567,1190,CARNEROS
2568,1191,CEREALES
2569,1191,OLEAGINOSAS
2570,1192,ARANDANOS
2571,1193,CORIANDRO
2572,1194,SORGO
2573,1194,TRIGO
2574,1194,ARROZ
2575,1195,PASAS DE UVA
2576,1196,VID
2577,1196,OLIVOS
2578,1197,ESPARRAGOS
2579,1197,AJO
2580,1197,ABONO VERDE
2581,1198,DESCANSO
2582,1198,AJO
2583,1198,INCULTO
2584,1198,CAMPO NATURAL
2585,1198,ZAPALLO
2586,1199,UVAS PARA VINIFICAR
2587,1200,UVAS PARA VINIFICAR
2588,1201,VID
2589,1202,AJO
2590,1202,ABONO VERDE
2591,1203,VID
2592,1204,CAï¿½A DE AZUCAR
2593,1205,CAï¿½A DE AZUCAR
2594,1206,CAï¿½A DE AZUCAR
2595,1207,CAï¿½A DE AZUCAR
2596,1208,CAï¿½A DE AZUCAR
2597,1209,CAï¿½A DE AZUCAR
2598,1210,CAï¿½A DE AZUCAR
2599,1211,CAï¿½A DE AZUCAR
2600,1212,CAï¿½A DE AZUCAR
2601,1213,CAï¿½A DE AZUCAR
2602,1214,CAï¿½A DE AZUCAR
2603,1215,CAï¿½A DE AZUCAR
2604,1216,CAï¿½A DE AZUCAR
2605,1217,CAï¿½A DE AZUCAR
2606,1218,CAï¿½A DE AZUCAR
2607,1219,MANZANA
2608,1219,PERA
2609,1220,MANZANA
2610,1220,PERA
2611,1221,PERA
2612,1222,MANZANA
2613,1222,PERA
2614,1223,MANZANA
2615,1223,PERA
2616,1224,MANZANA
2617,1224,PERA
2618,1225,MANZANA
2619,1225,PERA
2620,1225,CALENDULA
2621,1226,VID
2622,1227,PERA
2623,1228,MANZANAS
2624,1228,PERAS
2625,1229,PERA
2626,1229,MANZANA
2627,1230,MANZANA
2628,1230,PERA
2629,1231,PERAS
2630,1231,MANZANAS.
2631,1232,PERA
2632,1233,PERAS
2633,1234,MANZANA
2634,1234,PERA
2635,1235,MANZANA
2636,1235,PERA
2637,1235,PELON
2638,1236,MANZANA
2639,1236,PERA
2640,1237,NUECES
2641,1237,NUEZ SECA PELADA
2642,1237,NUEZ SECA CON CASCARA
2643,1238,NUECES
2644,1238,NUEZ SECA PELADA
2645,1238,NUEZ SECA CON CASCARA
2646,1239,LANA SUCIA
2647,1239,OVEJAS
2648,1239,BORREGOS
2649,1239,BORREGAS
2650,1239,CAPONES
2651,1239,CORDEROS
2652,1239,CARNEROS
2653,1240,MANZANAS
2654,1240,PERAS
2655,1241,PERAS
2656,1243,CAï¿½A DE AZUCAR
2657,1243,INCULTO
2658,1243,MONTE
2659,1244,INCULTO
2660,1245,CHIA
2661,1246,MAIZ
2662,1247,AJO
2663,1247,CAMPO NATURAL
2664,1247,ZAPALLO
2665,1248,VID
2666,1248,OLIVOS
2667,1249,VID
2668,1250,VID
2669,1252,OVEJAS
2670,1252,LANA SUCIA
2671,1252,BORREGAS
2672,1252,BORREGOS
2673,1252,CARNEROS
2674,1252,CAPONES
2675,1253,OVEJAS
2676,1253,BORREGAS
2677,1253,CAPONES
2678,1253,CARNEROS
